,City,Latitude,Longityde,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Hermanus,-34.42,19.23,1604782155,64.0,64,0,8.01,ZA
1,Cape Town,-33.93,18.42,1604782228,64.0,82,75,18.34,ZA
2,Biak,-0.91,122.88,1604782210,77.43,76,98,6.42,ID
3,Lavrentiya,65.58,-171.0,1604782147,28.69,96,53,10.0,RU
4,Chunoyar,57.45,97.32,1604782228,36.14,94,100,5.5,RU
5,Hobart,-42.88,147.33,1604781532,45.0,81,20,8.05,AU
6,Kapaa,22.08,-159.32,1604782166,82.4,78,40,13.87,US
7,Port Hardy,50.7,-127.42,1604781897,44.6,65,20,17.22,CA
8,Lebu,-37.62,-73.65,1604781684,55.99,63,0,23.24,CL
9,Praia da Vitória,38.73,-27.07,1604782229,60.8,72,40,18.59,PT
10,Aguadilla,18.43,-67.15,1604782229,79.0,100,90,8.05,PR
11,Brandon,27.94,-82.29,1604782156,82.99,58,75,16.11,US
12,Port Elizabeth,-33.92,25.57,1604781496,64.4,93,1,8.05,ZA
13,Atar,20.52,-13.05,1604782230,87.04,18,99,9.69,MR
14,Isangel,-19.55,169.27,1604781916,80.89,71,0,7.76,VU
15,Ixtapa,20.7,-105.2,1604782230,86.0,55,5,8.05,MX
16,Poum,-20.23,164.02,1604782230,76.82,73,5,12.91,NC
17,Ust-Kuyga,70.02,135.6,1604782196,-23.04,85,100,4.72,RU
18,Saldanha,-33.01,17.94,1604782189,60.8,87,0,12.75,ZA
19,Severo-Kuril'sk,50.68,156.12,1604782163,34.48,83,3,1.92,RU
20,Tabou,4.42,-7.35,1604782230,78.85,86,89,5.26,CI
21,Fort Frances,48.6,-93.4,1604781957,45.0,75,90,6.93,CA
22,Mahon,39.89,4.27,1604782230,66.2,93,21,5.82,ES
23,Busselton,-33.65,115.33,1604782145,55.0,66,50,3.2,AU
24,Bredasdorp,-34.53,20.04,1604782231,62.6,51,0,14.99,ZA
25,Albany,42.6,-73.97,1604781959,73.4,43,75,5.82,US
26,Avera,33.19,-82.53,1604781589,80.6,54,40,10.29,US
27,Atuona,-9.8,-139.03,1604782159,77.86,70,66,13.4,PF
28,Tuktoyaktuk,69.45,-133.04,1604782159,26.6,79,75,21.92,CA
29,Montoro,38.02,-4.38,1604782231,55.4,93,0,2.24,ES
30,Inta,66.03,60.17,1604782232,29.5,98,100,9.46,RU
31,Punta Arenas,-53.15,-70.92,1604782232,60.8,51,40,31.09,CL
32,Castro,-24.79,-50.01,1604781909,71.47,51,0,3.6,BR
33,Mataura,-46.19,168.86,1604782232,50.0,51,65,10.0,NZ
34,Parabel',58.7,81.48,1604782232,36.09,83,100,11.77,RU
35,La Ronge,55.1,-105.28,1604782150,21.2,79,100,8.05,CA
36,Souillac,-20.52,57.52,1604782193,73.4,78,40,6.93,MU
37,Anadyr,64.75,177.48,1604781413,21.2,85,75,6.71,RU
38,Bac Lieu,9.29,105.72,1604782232,78.33,88,84,10.18,VN
39,Dargaville,-35.93,173.88,1604782207,64.56,77,48,12.26,NZ
40,Ulaanbaatar,47.91,106.88,1604782233,5.0,77,0,0.96,MN
41,Simao,22.79,100.97,1604782233,57.13,95,5,1.88,CN
42,Meulaboh,4.14,96.13,1604782195,76.32,86,100,3.71,ID
43,Norman Wells,65.28,-126.83,1604782172,24.8,92,75,2.24,CA
44,New Norfolk,-42.78,147.06,1604781521,45.0,81,20,8.05,AU
45,Flin Flon,54.77,-101.86,1604782233,19.4,79,90,6.93,CA
46,Arraial do Cabo,-22.97,-42.03,1604782148,75.2,69,75,6.93,BR
47,Puerto Ayora,-0.74,-90.35,1604782152,78.8,65,20,23.04,EC
48,Flinders,-34.58,150.86,1604782234,59.0,73,49,1.99,AU
49,Calabar,4.95,8.32,1604782234,76.17,91,100,4.5,NG
50,Tobermory,45.25,-81.67,1604782234,55.4,76,85,10.29,CA
51,Port Alfred,-33.59,26.89,1604782234,68.41,90,1,7.56,ZA
52,Rikitea,-23.12,-134.97,1604782145,71.46,72,42,16.82,PF
53,Thompson,55.74,-97.86,1604782173,19.4,79,90,2.24,CA
